t,x,y,z
0.005000,0.000000,0.499755,0.000000
0.010000,0.000000,0.499264,0.000000
0.015000,0.000000,0.498529,0.000000
0.020000,0.000000,0.497548,0.000000
0.025000,0.000000,0.496321,0.000000
0.030000,0.000000,0.494850,0.000000
0.035000,0.000000,0.493133,0.000000
0.040000,0.000000,0.491171,0.000000
0.045000,0.000000,0.488964,0.000000
0.050000,0.000000,0.486511,0.000000
0.055000,0.000000,0.483814,0.000000
0.060000,0.000000,0.480871,0.000000
0.065000,0.000000,0.477682,0.000000
0.070000,0.000000,0.474249,0.000000
0.075000,0.000000,0.470570,0.000000
0.080000,0.000000,0.466646,0.000000
0.085000,0.000000,0.462477,0.000000
0.090000,0.000000,0.458062,0.000000
0.095000,0.000000,0.453403,0.000000
0.100000,0.000000,0.448498,0.000000
0.105000,0.000000,0.443347,0.000000
0.110000,0.000000,0.437952,0.000000
0.115000,0.000000,0.432311,0.000000
0.120000,0.000000,0.426425,0.000000
0.125000,0.000000,0.420294,0.000000
0.130000,0.000000,0.413917,0.000000
0.135000,0.000000,0.407296,0.000000
0.140000,0.000000,0.400429,0.000000
0.145000,0.000000,0.393316,0.000000
0.150000,0.000000,0.385959,0.000000
0.155000,0.000000,0.378356,0.000000
0.160000,0.000000,0.370508,0.000000
0.165000,0.000000,0.362415,0.000000
0.170000,0.000000,0.354076,0.000000
0.175000,0.000000,0.345492,0.000000
0.180000,0.000000,0.336664,0.000000
0.185000,0.000000,0.327589,0.000000
0.190000,0.000000,0.318270,0.000000
0.195000,0.000000,0.308705,0.000000
0.200000,0.000000,0.298895,0.000000
0.205000,0.000000,0.288840,0.000000
0.210000,0.000000,0.278539,0.000000
0.215000,0.000000,0.267993,0.000000
0.220000,0.000000,0.257203,0.000000
0.225000,0.000000,0.246166,0.000000
0.230000,0.000000,0.234885,0.000000
0.235000,0.000000,0.223358,0.000000
0.240000,0.000000,0.211586,0.000000
0.245000,0.000000,0.199569,0.000000
0.250000,0.000000,0.187306,0.000000
0.255000,0.000000,0.174799,0.000000
0.260000,0.000000,0.162046,0.000000
0.265000,0.000000,0.149047,0.000000
0.270000,0.000000,0.135804,0.000000
0.275000,0.000000,0.122315,0.000000
0.280000,-0.005866,0.117927,-0.000000
0.285000,-0.012133,0.113917,-0.000000
0.290000,-0.018401,0.109662,-0.000000
0.295000,-0.024668,0.105162,-0.000000
0.300000,-0.030935,0.100416,-0.000000
0.305000,-0.036603,0.100451,-0.000000
0.310000,-0.042229,0.100593,-0.000000
0.315000,-0.047843,0.100594,-0.000000
0.320000,-0.053440,0.100487,-0.000000
0.325000,-0.059020,0.100271,-0.000000
0.330000,-0.064584,0.099953,-0.000000
0.335000,-0.070130,0.099538,-0.000000
0.340000,-0.075658,0.099028,-0.000000
0.345000,-0.081168,0.098430,-0.000000
0.350000,-0.086658,0.097745,-0.000000
0.355000,-0.092129,0.096979,-0.000000
