t,x,y,z,s_along_slope,penetration_est
0.001000,-0.700003,0.080991,0.000000,-0.000003,0.000991
0.002000,-0.700008,0.080972,0.000000,-0.000008,0.000972
0.003000,-0.700015,0.080943,0.000000,-0.000015,0.000943
0.004000,-0.700025,0.080905,0.000000,-0.000025,0.000905
0.005000,-0.700038,0.080858,0.000000,-0.000038,0.000858
0.006000,-0.700053,0.080801,0.000000,-0.000053,0.000801
0.007000,-0.700071,0.080735,0.000000,-0.000071,0.000735
0.008000,-0.700091,0.080659,0.000000,-0.000091,0.000659
0.009000,-0.700114,0.080574,0.000000,-0.000114,0.000574
0.010000,-0.700140,0.080479,0.000000,-0.000140,0.000479
0.011000,-0.700168,0.080375,0.000000,-0.000168,0.000375
0.012000,-0.700198,0.080261,0.000000,-0.000198,0.000261
0.013000,-0.700231,0.080138,0.000000,-0.000231,0.000138
0.014000,-0.700266,0.080007,0.000000,-0.000266,0.000007
0.015000,-0.700277,0.080002,-0.000000,-0.000277,0.000002
0.016000,-0.700287,0.080002,-0.000000,-0.000287,0.000002
0.017000,-0.700298,0.080002,-0.000000,-0.000298,0.000002
0.018000,-0.700310,0.080002,-0.000000,-0.000310,0.000002
0.019000,-0.700322,0.080002,-0.000000,-0.000322,0.000002
0.020000,-0.700335,0.080003,-0.000000,-0.000335,0.000003
0.021000,-0.700348,0.080003,-0.000000,-0.000348,0.000003
0.022000,-0.700362,0.080003,-0.000000,-0.000362,0.000003
0.023000,-0.700377,0.080003,-0.000000,-0.000377,0.000003
0.024000,-0.700393,0.080003,-0.000000,-0.000393,0.000003
0.025000,-0.700409,0.080003,-0.000000,-0.000409,0.000003
0.026000,-0.700425,0.080003,-0.000000,-0.000425,0.000003
0.027000,-0.700443,0.080003,-0.000000,-0.000443,0.000003
0.028000,-0.700461,0.080004,-0.000000,-0.000461,0.000004
0.029000,-0.700479,0.080004,-0.000000,-0.000479,0.000004
0.030000,-0.700499,0.080004,-0.000000,-0.000499,0.000004
0.031000,-0.700519,0.080004,-0.000000,-0.000519,0.000004
0.032000,-0.700539,0.080004,-0.000000,-0.000539,0.000004
0.033000,-0.700560,0.080004,-0.000000,-0.000560,0.000004
0.034000,-0.700582,0.080004,-0.000000,-0.000582,0.000004
0.035000,-0.700605,0.080005,-0.000000,-0.000605,0.000005
0.036000,-0.700628,0.080005,-0.000000,-0.000628,0.000005
0.037000,-0.700652,0.080005,-0.000000,-0.000652,0.000005
0.038000,-0.700676,0.080005,-0.000000,-0.000676,0.000005
0.039000,-0.700701,0.080005,-0.000000,-0.000701,0.000005
0.040000,-0.700727,0.080005,-0.000000,-0.000727,0.000005
0.041000,-0.700753,0.080005,-0.000000,-0.000753,0.000005
0.042000,-0.700780,0.080005,-0.000000,-0.000780,0.000005
0.043000,-0.700808,0.080006,-0.000000,-0.000808,0.000006
0.044000,-0.700836,0.080006,-0.000000,-0.000836,0.000006
0.045000,-0.700865,0.080006,-0.000000,-0.000865,0.000006
0.046000,-0.700895,0.080006,-0.000000,-0.000895,0.000006
0.047000,-0.700925,0.080006,-0.000000,-0.000925,0.000006
0.048000,-0.700956,0.080006,-0.000000,-0.000956,0.000006
0.049000,-0.700987,0.080006,-0.000000,-0.000987,0.000006
0.050000,-0.701020,0.080006,-0.000000,-0.001020,0.000006
0.051000,-0.701052,0.080007,-0.000000,-0.001052,0.000007
