t,x,y,z,s_along_slope,penetration_est
0.000500,-0.700001,0.080998,0.000000,-0.000001,0.000998
0.001000,-0.700002,0.080993,0.000000,-0.000002,0.000993
0.001500,-0.700004,0.080986,0.000000,-0.000004,0.000986
0.002000,-0.700006,0.080976,0.000000,-0.000006,0.000976
0.002500,-0.700010,0.080964,0.000000,-0.000010,0.000964
0.003000,-0.700013,0.080950,0.000000,-0.000013,0.000950
0.003500,-0.700018,0.080934,0.000000,-0.000018,0.000934
0.004000,-0.700023,0.080915,0.000000,-0.000023,0.000915
0.004500,-0.700029,0.080893,0.000000,-0.000029,0.000893
0.005000,-0.700035,0.080870,0.000000,-0.000035,0.000870
0.005500,-0.700042,0.080844,0.000000,-0.000042,0.000844
0.006000,-0.700050,0.080815,0.000000,-0.000050,0.000815
0.006500,-0.700058,0.080784,0.000000,-0.000058,0.000784
0.007000,-0.700067,0.080751,0.000000,-0.000067,0.000751
0.007500,-0.700076,0.080716,0.000000,-0.000076,0.000716
0.008000,-0.700086,0.080678,0.000000,-0.000086,0.000678
0.008500,-0.700097,0.080638,0.000000,-0.000097,0.000638
0.009000,-0.700109,0.080595,0.000000,-0.000109,0.000595
0.009500,-0.700121,0.080550,0.000000,-0.000121,0.000550
0.010000,-0.700133,0.080503,0.000000,-0.000133,0.000503
0.010500,-0.700147,0.080453,0.000000,-0.000147,0.000453
0.011000,-0.700161,0.080401,0.000000,-0.000161,0.000401
0.011500,-0.700175,0.080346,0.000000,-0.000175,0.000346
0.012000,-0.700190,0.080289,0.000000,-0.000190,0.000289
0.012500,-0.700206,0.080230,0.000000,-0.000206,0.000230
0.013000,-0.700223,0.080169,0.000000,-0.000223,0.000169
0.013500,-0.700240,0.080105,0.000000,-0.000240,0.000105
0.014000,-0.700258,0.080038,0.000000,-0.000258,0.000038
0.014500,-0.700276,0.079970,0.000000,-0.000276,-0.000030
0.015000,-0.700291,0.079917,0.000000,-0.000291,-0.000083
0.015500,-0.700304,0.079882,0.000000,-0.000304,-0.000118
0.016000,-0.700315,0.079860,0.000000,-0.000315,-0.000140
0.016500,-0.700325,0.079847,0.000000,-0.000325,-0.000153
0.017000,-0.700333,0.079841,0.000000,-0.000333,-0.000159
0.017500,-0.700341,0.079839,0.000000,-0.000341,-0.000161
0.018000,-0.700349,0.079839,0.000000,-0.000349,-0.000161
0.018500,-0.700356,0.079841,0.000000,-0.000356,-0.000159
0.019000,-0.700364,0.079843,0.000000,-0.000364,-0.000157
0.019500,-0.700371,0.079846,0.000000,-0.000371,-0.000154
0.020000,-0.700379,0.079849,0.000000,-0.000379,-0.000151
0.020500,-0.700387,0.079852,0.000000,-0.000387,-0.000148
